timestamp,arrival_ts,start_ts,prompt,mode,latency,gif_frames,queue_len,clip_score,image_path
2025-12-14T17:03:20,1765731761.5233018,1765731761.5233498,When your code works on first try,quality,31.96483874320984,8,1,26.469444274902344,results/images/1765731761523.gif
2025-12-14T17:03:56,1765731800.888825,1765731800.8888896,When your code works on first try,quality,33.15895676612854,8,1,19.10816192626953,results/images/1765731800888.gif
2025-12-14T17:04:33,1765731836.0546644,1765731836.0547173,POV: You forgot to save your weights,quality,36.15528702735901,8,1,28.040328979492188,results/images/1765731836054.gif
2025-12-14T17:05:14,1765731873.8885067,1765731873.8885815,POV: You forgot to save your weights,quality,39.082547664642334,8,1,28.80617904663086,results/images/1765731873888.gif
2025-12-14T17:05:53,1765731914.2272391,1765731914.2272887,Debugging at 3am,quality,37.013370513916016,8,1,23.824939727783203,results/images/1765731914227.gif
2025-12-14T17:06:33,1765731953.311482,1765731953.3115182,Debugging at 3am,quality,38.56587290763855,8,1,24.141294479370117,results/images/1765731953311.gif
2025-12-14T17:07:13,1765731993.8155856,1765731993.815624,When deadline is tomorrow,quality,37.71566343307495,8,1,24.28707504272461,results/images/1765731993815.gif
2025-12-14T17:07:53,1765732033.4488983,1765732033.4489799,GPU be like: not enough memory,quality,37.9679799079895,8,1,30.132965087890625,results/images/1765732033448.gif
2025-12-14T17:08:32,1765732073.2415826,1765732073.2416227,When deadline is tomorrow,quality,37.87135910987854,8,1,17.76065444946289,results/images/1765732073241.gif
2025-12-14T17:09:13,1765732112.907656,1765732112.9076846,GPU be like: not enough memory,quality,38.03583598136902,8,1,20.631223678588867,results/images/1765732112907.gif
2025-12-14T17:09:53,1765732153.7227008,1765732153.7227683,When your code works on first try,quality,37.92241883277893,8,1,23.03370475769043,results/images/1765732153722.gif
2025-12-14T17:10:33,1765732193.60396,1765732193.6040027,GPU be like: not enough memory,quality,37.80041527748108,8,1,33.181304931640625,results/images/1765732193604.gif
2025-12-14T17:11:13,1765732233.5596895,1765732233.5597663,GPU be like: not enough memory,quality,38.00461769104004,8,1,24.854835510253906,results/images/1765732233559.gif
2025-12-14T17:11:53,1765732273.6341364,1765732273.6341693,When deadline is tomorrow,quality,37.92995285987854,8,1,21.61996078491211,results/images/1765732273634.gif
2025-12-14T17:12:33,1765732313.7480438,1765732313.7480862,When deadline is tomorrow,quality,37.949907302856445,8,1,20.60856056213379,results/images/1765732313748.gif
2025-12-14T17:13:14,1765732353.8599644,1765732353.8599935,GPU be like: not enough memory,quality,37.93278217315674,8,1,25.31401252746582,results/images/1765732353859.gif
2025-12-14T17:13:53,1765732394.0868597,1765732394.08689,Debugging at 3am,quality,37.826844453811646,8,1,27.69834327697754,results/images/1765732394086.gif
2025-12-14T17:14:33,1765732433.2178366,1765732433.2178814,When your code works on first try,quality,37.74661612510681,8,1,22.81867218017578,results/images/1765732433217.gif
2025-12-14T17:15:13,1765732473.5231771,1765732473.5232203,When deadline is tomorrow,quality,38.16686820983887,8,1,28.218931198120117,results/images/1765732473523.gif
2025-12-14T17:15:52,1765732513.3826046,1765732513.3826506,POV: You forgot to save your weights,quality,37.59588980674744,8,1,29.942237854003906,results/images/1765732513382.gif
2025-12-14T17:16:33,1765732552.787141,1765732552.7872057,When deadline is tomorrow,quality,38.172059059143066,8,1,19.818206787109375,results/images/1765732552787.gif
2025-12-14T17:17:13,1765732593.0690372,1765732593.0690954,When deadline is tomorrow,quality,37.86665749549866,8,1,24.69344139099121,results/images/1765732593069.gif
2025-12-14T17:17:53,1765732633.2234712,1765732633.2234986,Debugging at 3am,quality,37.97317552566528,8,1,25.76446533203125,results/images/1765732633223.gif
2025-12-14T17:18:33,1765732673.4296737,1765732673.4297135,GPU be like: not enough memory,quality,37.915074825286865,8,1,27.850685119628906,results/images/1765732673429.gif
2025-12-14T17:19:12,1765732713.2072604,1765732713.207288,GPU be like: not enough memory,quality,37.84566259384155,8,1,29.182498931884766,results/images/1765732713207.gif
2025-12-14T17:19:53,1765732752.895148,1765732752.8951921,When your code works on first try,quality,38.01379108428955,8,1,25.575923919677734,results/images/1765732752895.gif
2025-12-14T17:20:32,1765732793.4098237,1765732793.4098506,GPU be like: not enough memory,quality,37.867074489593506,8,1,21.781204223632812,results/images/1765732793409.gif
